Course order,Assignment,Last seen (%)
1,Quiz 1.1,42.63
2,Quiz 1.2,22.54
3,Quiz 2.1,14.29
4,1-D Quadrotor Control,2.23
5,2-D Quadrotor Control,1.23
6,Quiz 3,4.13
7,Quiz 4,6.36
8,3-D Quadrotor Control,6.58
