name,correct,all
Quiz 1.2 – item 1,85,223
Quiz 1.2 – item 2,157,223
Quiz 1.2 – item 3,110,223
Quiz 1.2 – item 4,216,223
Quiz 1.2 – item 5.1,56,121
Quiz 1.2 – item 5.2,73,133
Quiz 1.2 – item 5.3,65,128
