Course order,Assignment,Last seen (%)
1,1.1,28.878116343490305
2,1.2,24.445983379501385
3,2.1,14.889196675900276
4,1-D Quadrotor Control,6.094182825484765
5,2-D Quadrotor Control,1.8698060941828254
6,3,11.49584487534626
7,4,8.102493074792244
8,3-D Quadrotor Control,4.224376731301939
