video,last_seen,watched
Sensing and Estimation,0.021928166351606805,0.7894736842105263
Nonlinear Control,0.015122873345935728,0.6776315789473685
Control of Multiple Robots,0.01776937618147448,0.618421052631579
Adjourn,0.02948960302457467,0.5
Supplementary Material: Introduction to the Motion Capture System by Matthew Turpin,0.03062381852551985,0.5197368421052632
